response_id,source_type,avg_sentence_length,num_sentences,num_words,parse_tree_depth,type_token_ratio,passive_ratio,hedge_count,hedge_rate,discourse_count,discourse_rate,avg_word_length,punct_ratio,pct_noun,pct_verb,pct_adj,pct_adv,pct_pron
H_0001,human,6.5,2,13,4.5,0.9230769230769231,0.0,0,0.0,0,0.0,4.3076923076923075,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385
H_0002,human,5.0,3,15,3.0,1.0,0.3333333333333333,0,0.0,1,0.06666666666666667,4.133333333333334,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
H_0003,human,5.0,3,15,3.3333333333333335,1.0,0.0,0,0.0,0,0.0,5.066666666666666,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333
H_0004,human,6.0,2,12,3.0,1.0,0.0,0,0.0,0,0.0,4.25,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
H_0005,human,6.5,2,13,4.5,0.9230769230769231,0.0,0,0.0,0,0.0,4.3076923076923075,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385
H_0006,human,5.0,3,15,3.0,1.0,0.3333333333333333,0,0.0,1,0.06666666666666667,4.133333333333334,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
H_0007,human,5.0,3,15,3.3333333333333335,1.0,0.0,0,0.0,0,0.0,5.066666666666666,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333
H_0008,human,6.0,2,12,3.0,1.0,0.0,0,0.0,0,0.0,4.25,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
H_0009,human,6.5,2,13,4.5,0.9230769230769231,0.0,0,0.0,0,0.0,4.3076923076923075,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385
H_0010,human,5.0,3,15,3.0,1.0,0.3333333333333333,0,0.0,1,0.06666666666666667,4.133333333333334,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
H_0011,human,5.0,3,15,3.3333333333333335,1.0,0.0,0,0.0,0,0.0,5.066666666666666,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333
H_0012,human,6.0,2,12,3.0,1.0,0.0,0,0.0,0,0.0,4.25,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
H_0013,human,6.5,2,13,4.5,0.9230769230769231,0.0,0,0.0,0,0.0,4.3076923076923075,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385
H_0014,human,5.0,3,15,3.0,1.0,0.3333333333333333,0,0.0,1,0.06666666666666667,4.133333333333334,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
H_0015,human,5.0,3,15,3.3333333333333335,1.0,0.0,0,0.0,0,0.0,5.066666666666666,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333
H_0016,human,6.0,2,12,3.0,1.0,0.0,0,0.0,0,0.0,4.25,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
H_0017,human,6.5,2,13,4.5,0.9230769230769231,0.0,0,0.0,0,0.0,4.3076923076923075,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385
H_0018,human,5.0,3,15,3.0,1.0,0.3333333333333333,0,0.0,1,0.06666666666666667,4.133333333333334,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
H_0019,human,5.0,3,15,3.3333333333333335,1.0,0.0,0,0.0,0,0.0,5.066666666666666,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333
H_0020,human,6.0,2,12,3.0,1.0,0.0,0,0.0,0,0.0,4.25,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
H_0021,human,6.5,2,13,4.5,0.9230769230769231,0.0,0,0.0,0,0.0,4.3076923076923075,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385
H_0022,human,5.0,3,15,3.0,1.0,0.3333333333333333,0,0.0,1,0.06666666666666667,4.133333333333334,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
H_0023,human,5.0,3,15,3.3333333333333335,1.0,0.0,0,0.0,0,0.0,5.066666666666666,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333
